Psych,year,2014-15,,,"12,831",2015-16,,,,2016-17,,,,,2014-15,,,,2015-16,,,,2016-17,,,
Psych,Gender,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring
Psych,Female,176,252,266,298,171,244,268,258,138,267,297,265,,0.631,0.597,0.599,0.623,0.643,0.632,0.663,0.635,0.654,0.621,0.648,0.65
Psych,Male,103,167,178,180,95,142,136,148,73,163,161,143,,0.369,0.396,0.401,0.377,0.357,0.368,0.337,0.365,0.346,0.379,0.352,0.35
Psych,(blank),,3,,,,,,,,,,,, -   ,0.007, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Full,Female,"1,740","3,716","3,735","3,640","1,614","3,602","3,546","3,566","1,676","3,631","3,664","3,595",,0.567,0.605,0.614,0.613,0.566,0.608,0.608,0.622,0.566,0.617,0.614,0.62
Full,Male,"1,321","2,409","2,315","2,272","1,231","2,288","2,254","2,136","1,269","2,234","2,276","2,181",,0.43,0.392,0.381,0.383,0.432,0.386,0.386,0.372,0.429,0.38,0.382,0.376
Full,(blank),10,15,32,24,5,39,32,33,14,19,24,21,,0.003,0.002,0.005,0.004,0.002,0.007,0.005,0.006,0.005,0.003,0.004,0.004
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Ethnicity,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,African American,23,30,35,48,31,42,37,25,23,32,45,39,,0.082,0.071,0.079,0.1,0.117,0.109,0.092,0.062,0.109,0.074,0.098,0.096
Psych,Asian/Pacific Islander,34,54,64,53,29,49,48,60,19,56,56,50,,0.122,0.128,0.144,0.111,0.109,0.127,0.119,0.148,0.09,0.13,0.122,0.123
Psych,Latino/Hispanic,14,34,28,28,17,25,41,30,11,44,39,27,,0.05,0.081,0.063,0.059,0.064,0.065,0.101,0.074,0.052,0.102,0.085,0.066
Psych,Native American,4,2,6,4,4,4,7,9,,8,6,5,,0.014,0.005,0.014,0.008,0.015,0.01,0.017,0.022, -   ,0.019,0.013,0.012
Psych,Other Race,6,13,20,20,8,11,12,9,7,9,14,14,,0.022,0.031,0.045,0.042,0.03,0.028,0.03,0.022,0.033,0.021,0.031,0.034
Psych,White,102,187,164,198,103,179,173,184,89,178,183,161,,0.366,0.443,0.369,0.414,0.387,0.464,0.428,0.453,0.422,0.414,0.4,0.395
Psych,International Student,72,50,81,65,47,35,46,52,44,59,66,63,,0.258,0.118,0.182,0.136,0.177,0.091,0.114,0.128,0.209,0.137,0.144,0.154
Psych,Not Reported,24,52,46,62,27,41,40,37,18,44,49,49,,0.086,0.123,0.104,0.13,0.102,0.106,0.099,0.091,0.085,0.102,0.107,0.12
Full,Asian/Pacific Islander,381,696,682,689,380,710,698,686,421,718,694,715,,0.092,0.086,0.085,0.088,0.097,0.09,0.09,0.089,0.103,0.091,0.087,0.091
Full,African American,237,430,435,418,237,417,394,406,232,422,438,459,,0.058,0.053,0.054,0.053,0.061,0.053,0.051,0.053,0.057,0.053,0.055,0.058
Full,Native American,10,34,32,33,18,30,31,35,18,39,35,35,,0.002,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.004,0.005,0.004,0.004
Full,Latino/Hispanic,205,419,430,434,221,455,444,439,242,452,453,451,,0.05,0.052,0.053,0.055,0.057,0.058,0.057,0.057,0.059,0.057,0.057,0.057
Full,Other Race,217,398,398,361,198,368,388,379,203,411,398,399,,0.053,0.049,0.049,0.046,0.051,0.047,0.05,0.049,0.05,0.052,0.05,0.051
Full,Student of color,"1,050","1,977","1,977","1,935","1,054","1,980","1,955","1,945","1,116","2,042","2,018","2,059",,0.255,0.244,0.245,0.246,0.27,0.25,0.251,0.253,0.274,0.258,0.253,0.262
Full,White,"1,340","2,721","2,658","2,555","1,234","2,546","2,517","2,416","1,201","2,460","2,430","2,399",,0.325,0.335,0.33,0.325,0.316,0.322,0.323,0.315,0.295,0.31,0.304,0.305
Full,International Student,1,7,7,7,1,14,12,10,9,21,181,72,,0,0.001,0.001,0.001,0,0.002,0.002,0.001,0.002,0.003,0.023,0.009
Full,(blank),680,"1,435","1,440","1,439",561,"1,389","1,348","1,364",633,"1,361","1,335","1,267",,0.165,0.177,0.179,0.183,0.144,0.176,0.173,0.178,0.155,0.172,0.167,0.161
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Disability,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Disable N,270,398,413,445,243,361,374,369,195,399,428,375,,,,,,,,,,,,,
Psych,Disable Y,9,24,31,33,23,25,30,37,16,31,30,33,,,,,,,,,,,,,
Full,Disable N,"2,904","5,873","5,821","5,650","2,696","5,646","5,524","5,442","2,779","5,569","5,649","5,462",,,,,,,,,,,,,
Full,Disable Y,167,267,261,286,154,283,308,293,180,315,315,335,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Full/Part Time,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Full-Time,91,230,271,256,66,207,230,217,69,240,241,233,,,,,,,,,,,,,
Psych,Part-time,188,192,173,222,200,179,174,189,142,190,217,175,,,,,,,,,,,,,
Full,Full-Time,457,"1,722","1,811","1,745",401,"1,707","1,694","1,635",408,"1,727","1,821","1,684",,,,,,,,,,,,,
Full,Part-time,"2,614","4,418","4,271","4,191","2,449","4,222","4,138","4,100","2,551","4,157","4,143","4,113",,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Family Status,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Without Dependents,191,278,297,307,174,257,259,259,136,275,267,240,,,,,,,,,,,,,
Psych,Other,59,86,103,103,49,71,88,91,47,93,123,106,,,,,,,,,,,,,
Psych,Couple with Dependents,17,30,28,38,27,33,27,32,14,34,42,32,,,,,,,,,,,,,
Psych,Single Parent with Dependents,12,19,15,28,16,24,30,23,14,24,24,26,,,,,,,,,,,,,
Psych,(blank),,9,1,2,,1,,1,,4,2,4,,,,,,,,,,,,,
Full,Single Parent with Dependents,202,389,367,359,165,356,356,357,183,374,366,378,,,,,,,,,,,,,
Full,Couple with Dependents,360,"1,336","1,311","1,276",341,"1,265","1,231","1,206",336,"1,307","1,331","1,325",,,,,,,,,,,,,
Full,Without Dependents,"1,841","3,196","3,182","3,027","1,753","3,058","3,030","2,898","1,773","3,008","3,014","2,979",,,,,,,,,,,,,
Full,Other,433,792,834,846,438,876,816,813,476,804,873,819,,,,,,,,,,,,,
Full,(blank),235,427,388,428,153,374,399,461,191,391,380,296,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Work Status,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Part-Time Work,67,118,115,138,63,118,115,117,49,107,117,102,,,,,,,,,,,,,
Psych,Out of Labor Force,99,120,152,139,69,90,105,115,65,116,126,132,,,,,,,,,,,,,
Psych,Full-Time Work,62,85,86,108,81,92,83,86,51,98,107,77,,,,,,,,,,,,,
Psych,Seeking Employment,43,83,83,75,45,77,90,80,40,99,99,90,,,,,,,,,,,,,
Psych,(blank),8,16,8,18,8,9,11,8,6,10,9,7,,,,,,,,,,,,,
Full,Full-Time Work,807,"1,756","1,752","1,701",814,"1,712","1,642","1,636",831,"1,690","1,674","1,705",,,,,,,,,,,,,
Full,Part-Time Work,780,"1,499","1,486","1,362",696,"1,402","1,420","1,329",757,"1,417","1,418","1,382",,,,,,,,,,,,,
Full,Seeking Employment,660,"1,060",991,980,575,946,899,868,556,931,934,911,,,,,,,,,,,,,
Full,Out of Labor Force,565,"1,335","1,368","1,376",569,"1,426","1,393","1,356",598,"1,391","1,490","1,443",,,,,,,,,,,,,
Full,(blank),259,490,485,517,196,443,478,546,217,455,448,356,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Student Intent,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Academic Transfer,192,319,318,323,166,238,256,252,113,274,289,284,,,,,,,,,,,,,
Psych,Vocational Preparatory,32,33,53,59,37,65,56,53,30,63,64,58,,,,,,,,,,,,,
Psych,Vocational Supplemental,23,36,39,44,41,43,42,52,36,29,42,22,,,,,,,,,,,,,
Psych,Preparatory Applicant,10,24,19,23,10,17,22,23,9,24,28,18,,,,,,,,,,,,,
Psych,(blank),20,6,9,18,8,17,19,24,19,33,30,21,,,,,,,,,,,,,
Full,A General Studies,1,2,,,,,,,66,7,9,,,,,,,,,,,,,,
Full,Academic Transfer,"1,043","2,206","2,122","2,077","1,171","2,068","2,031","1,966","1,092","1,730","1,789","1,843",,,,,,,,,,,,,
Full,D High School / GED,27,64,50,59,26,44,46,72,349,483,409,657,,,,,,,,,,,,,
Full,E Developmental,267,645,609,593,282,607,592,584,,,,,,,,,,,,,,,,,
Full,Vocational Preparatory,610,"1,125","1,152",995,578,"1,253","1,063","1,025",628,972,977,"1,167",,,,,,,,,,,,,
Full,Preparatory Applicant,69,134,149,162,107,14,119,96,73,130,120,101,,,,,,,,,,,,,
Full,I Appied Baccalaureate,24,51,49,50,17,101,113,112,57,158,152,149,,,,,,,,,,,,,
Full,Vocational Supplemental,229,617,715,815,556,772,800,837,520,593,556,766,,,,,,,,,,,,,
Full,K Home and Family Life,63,"1,046","1,135","1,094",55,"1,067","1,041","1,040",,,,,,,,,,,,,,,,,
Full,L General Studies Non Degree,7,28,19,30,10,1,2,1,,8,6,6,,,,,,,,,,,,,
Full,Y None of the Above,731,222,82,60,48,2,25,2,174,"1,803","1,946","1,108",,,,,,,,,,,,,
Full,M Multiple Goal Seeker,,,,1,,,,,,,,,,,,,,,,,,,,,
Psych,Applied Baccalaureate,,1,3,7,4,5,8,2,1,3,3,4,,,,,,,,,,,,,
Psych,Home and Family Life,,,,2,,1,1,,,,,,,,,,,,,,,,,,
Psych,Developmental,,,,,,,,,,1,,,,,,,,,,,,,,,
Psych,General Studies Non Degree,1,,,,,,,,,,,,,,,,,,,,,,,,
Psych,Community Service,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Psych,High School / GED,,1,1,1,,,,,,1,1,1,,,,,,,,,,,,,
Psych,General Studies,1,,,,,,,,3,2,,,,,,,,,,,,,,,
Psych,None of the Above,,1,1,,,,,,,,1,,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Prior Education,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,<High School Graduate,35,62,69,65,12,41,56,63,18,45,81,83,,,,,,,,,,,,,
Psych,GED,6,15,16,17,10,12,15,12,8,13,14,20,,,,,,,,,,,,,
Psych,High School Graduate,81,121,141,124,73,99,114,112,58,125,124,108,,,,,,,,,,,,,
Psych,Some Post High School,52,83,87,111,61,94,76,73,34,90,91,73,,,,,,,,,,,,,
Psych,Certificate (<2 Years),9,11,15,30,13,29,28,18,8,18,18,16,,,,,,,,,,,,,
Psych,Associate Degree,10,17,21,24,14,15,17,24,14,14,12,13,,,,,,,,,,,,,
Psych,Bachelor's Degree or Above,55,72,61,63,59,63,67,68,45,80,74,53,,,,,,,,,,,,,
Psych,Other,31,32,33,42,24,32,31,35,26,41,42,37,,,,,,,,,,,,,
Psych,(blank),,9,1,2,,1,,1,,4,2,4,,,,,,,,,,,,,
Full,10 < 9th Grade,4,7,4,8,6,10,12,11,6,9,9,8,,,,,,,,,,,,,
Full,11 < High School Graduation,187,317,286,282,168,287,275,268,182,284,346,323,,,,,,,,,,,,,
Full,GED,93,162,170,169,100,149,142,134,91,162,168,154,,,,,,,,,,,,,
Full,High School Graduate,581,"1,147","1,118","1,043",523,"1,053","1,049",984,539,"1,065","1,103","1,057",,,,,,,,,,,,,
Full,Some Post High School,747,"1,243","1,211","1,179",676,"1,169","1,125","1,111",675,"1,147","1,110","1,112",,,,,,,,,,,,,
Full,Certificate (<2 Years),120,267,285,279,162,269,257,258,145,254,242,256,,,,,,,,,,,,,
Full,Associate Degree,218,374,370,359,199,352,343,369,208,348,363,390,,,,,,,,,,,,,
Full,Bachelor's Degree or Above,736,"1,808","1,811","1,740",661,"1,746","1,765","1,685",693,"1,757","1,762","1,746",,,,,,,,,,,,,
Full,83 Tech Prep,2,1,2,1,5,,,,,1,1,3,,,,,,,,,,,,,
Full,Other,145,385,438,450,198,522,468,456,232,466,476,453,,,,,,,,,,,,,
Full,(blank),238,429,387,426,152,372,396,459,188,391,384,295,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,International Contract,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,International N,207,372,362,412,219,350,359,355,167,371,393,347,,,,,,,,,,,,,
Psych,International Y,72,50,82,66,47,36,45,51,44,59,65,61,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Running Start,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Running N,279,380,408,441,266,367,374,360,211,402,408,354,,,,,,,,,,,,,
Psych,Running Y,,42,36,37,,19,30,46,,28,50,54,,,,,,,,,,,,,
Psych,year,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
Psych,Veteran Benefit,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,Vet N,270,399,422,445,250,364,372,380,199,411,442,395,,,,,,,,,,,,,
Psych,Vet Y,9,23,22,33,16,22,32,26,12,19,16,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,fac/stu ratio,2014-15,,,,2015-16,,,,2016-17,,,,,,,,,,,,,,,,
,COURSE TITLE,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,1 Summer,2 Fall,3 Winter,4 Spring,,,,,,,,,,,,,
Psych,ABNORMAL PSYCHOLOGY,0.0,32.3,31.3,0.0,0.0,0.0,23.2,28.3,0.0,29.3,0.0,16.7,26.8,,,,,,,,,,,,
Psych,BASIC PSYCHOLOGY PRINCIP,8.3,8.1,10.5,20.0,4.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,9.2,,,,,,,,,,,,
Psych,FUND OF PSYCH RESEARCH,0.0,0.0,9.8,0.0,0.0,0.0,10.0,0.0,0.0,0.0,25.3,0.0,15.0,,,,,,,,,,,,
Psych,GENERAL PSYCHOLOGY,22.3,23.2,30.9,22.8,26.1,27.4,30.7,29.7,24.2,29.0,30.2,31.3,27.3,,,,,,,,,,,,
Psych,IND. STUDY IN PSYCHOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,,,,,,,,,,,
Psych,LIFESPAN PSYCHOLOGY,23.3,24.3,27.7,21.5,31.8,26.8,24.5,25.6,28.9,28.7,32.3,20.1,26.3,,,,,,,,,,,,
Psych,PERSONALITY & INDV DIFFE,0.0,0.0,0.0,17.2,0.0,9.1,0.0,0.0,0.0,0.0,29.3,0.0,18.5,,,,,,,,,,,,
Psych,PSYCHOLOGY OF GENDER,0.0,0.0,0.0,16.4,0.0,0.0,18.9,0.0,0.0,14.4,0.0,0.0,16.6,,,,,,,,,,,,
Psych,PSYCHOLOGY SEMINAR,0.0,13.3,0.0,4.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,
Psych,SOCIAL PSYCHOLOGY,0.0,16.2,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,26.0,18.7,,,,,,,,,,,,
Psych,SURVEY OF PHYSIOL. PSYCH,28.3,0.0,17.2,0.0,26.3,0.0,10.1,0.0,24.5,0.0,18.2,0.0,20.8,,,,,,,,,,,,
